"","Charges"
"5211","CF-000441A"
"5212","HOLD FOR DOC/ FSP"
"5213","MURDER-FIRST DEGREE"
"5214","POSSESSION OF FIREARM BY DELINQUENT"
"5215","SOLICITATION TO COMMIT FIRST DEGREE"
"5216","MURDER"
"5217","TRANSPORTED TO LEON CO. PER COURT"
"5218","ORDER/ CASE NO. 2012-CF 002662A/2011-"
"5219","CF-000441A"
"5220","HOLD FOR DOC/ FSP"
"5221","DUI-UNLAW BLD ALCH DUI ALCOHOL OR"
"5222","DRUGS"
"5223","BATTERY TOUCH OR STRIKE"
"5224","MANSLAUGHTER BY DRIVING UNDER"
"5225","NFLUENCE"
"5226","DRIVING UNDER INFLUENCE CAUSING"
"5227","SERIOUS BODILY INJURY"
"5228","LEAVING SCENE OF CRASH INVOLVING"
"5229","DEATH"
"5230","LEAVING SCENE OF CRASH INVOLVING"
"5231","PERSONAL INJURY"
"5232","DRUGS POSSESS ACTUAL CONSTRUCTIVE"
"5233","POSS SYNTHETIC CANNABINOID"
"5234","TRESPASSING STRUCTURE OR CONVEYANCE"
"5235","FTA/FORGERY OF POSS DRIVER LIC/ID CARD"
"5236","W ALTERED DOB"
"5237","OUT-OF-COUNTY WARRANT/ GADSDEN CO"
"5238","SO/  CASE #2013DR787/ CASH PURGE $1800"
"5239","OR SERVE 5 MONTHS AND 29 CONSECUTIVE"
"5240","DAYS"
"5241","DOMV/AGGRAV ASSAULT  W DEADLY"
"5242","WEAPON WITHOUT INTENT TO KILL"
"5243","DOMV/BATTERY ON PERSON 65 YEARS OF"
"5244","AGE OR OLDER"
"5245","POSSESSION OF CONTROLLED SUBSTANCE"
"5246","DRUGS-POSSESS POSSESS"
"5247","METHAMPHETAMINE"
"5248","NARCOTIC EQUIP-POSSESS AND OR USE"
"5249","DUI-UNLAW BLD ALCH DUI ALCOHOL OR"
"5250","DRUGS"
"5251","FTA/MOVING TRAFFIC VIOL OPERATE MOTOR"
"5252","VEHICLE WO VALID LICENSE"
"5253","FTA/DOMESTIC BATTERY"
"5254","DOMV///BATTERY TOUCH OR STRIKE"
"5255","FAVOR TRANSPORT/ HILLSBOROUGH CO"
"5256","HOLD FOR DOC/ WALTON CI"
"5257","VOP/CRIMINAL MISCHIEF"
"5258","DOMV/ BATTERY TOUCH OR STRIKE"
"5259","CONTEMPT OF COURT VIOLATION"
"5260","INJUNCTION PROTECTION DOMESTIC"
"5261","VIOLENCE"
"5262","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"5263","WITHOUT PRESCRIPTION"
"5264","BURGLARY OF CONVEYANCE"
"5265","ATTEMPTED BURGLARY OF CONVEYANCE"
"5266","HOLD FOR DOC/ WAKULLA CI (MAIN UNIT)"
"5267","HOLD FOR LEON COUNTY/ COURT ORDER"
"5268","TRANSPORT/ REF: 17CF01546"
"5269","CRUELTY TOWARD  CHILD ABUSE CHILD"
"5270","WITHOUT GREAT BODILY HARM"
"5271","AGGRAVATED BATTERY WITH A DEADLY"
"5272","WEAPON"
"5273","FRAUD-SWINDLE OBTAIN PROPERTY"
"5274","COMMUNICATION $300 OR MORE"
"5275","FTA/DOMV/BATTERY TOUCH OR STRIKE"
"5276","GRAND THEFT IS $300 OR MORE BUT LESS"
"5277","THAN $5000"
"5278","COUNTERFEITING PAY INSTRUMENT WIT"
"5279","DEFRAUD"
"5280","PASS COUNTERFEITED INSTRUMENT"
"5281","VOP/DISORDERLY CONDUCT"
"5282","FTA/DRIVING WHILE LICENSE SUSPENDED"
"5283","OR REVOKED"
"5284","FTA/ATTACHING IMPROPERLICENSE PLATE"
"5285","TRESPASS ON PROPERTY"
"5286","FTA/BATTERY CAUSE BODILY HARM"
"5287","DOC HOLD/ BLACWATER CI (EOS 11/25/18)"
"5288","FTA/PETIT THEFT"
"5289","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"5290","VOP/FTA/BATTERY"
"5291","FAVOR HOLD/ CHARLOTTE CO"
"5292","HOLD FOR DOC/ BLACKWATER CF"
"5293","POSSESSION OF FIREARM BY DELINQUENT"
"5294","POSSESSION OF COCAINE"
"5295","ARMED ROBBERY WITH FIREARM"
"5296","AGGRAVATED ASSAULT WITH FIREARM"
"5297","OUT-OF-COUNTY WARRANT/MADISON"
"5298","COUNTY/DRIVING UNDER THE INFLUENCE/17"
"5299","-192-CT"
"5300","HOLD FOR DOC/ WAKULLA CI(ANNEX)"
"5301","HOLD FOR HILLSBOROUGHCOUNTY/ COURT"
"5302","ORDER/ TRANSPORT FAVOR"
"5303","DUI-UNLAW BLD ALCH DUI ALCOHOL OR"
"5304","DRUGS"
"5305","PUBLIC ORDER CRIMES USE OF FALSE ID"
"5306","ADVERSELY AFFECTS ANOTHER"
"5307","VOP/GRAND THEFT OF MOTOR VEHICLE"
"5308","VOP/GRAND THEFT MORE THAN $300 BUT"
"5309","LESS THAN $5,000"
"5310","PETIT THEFT THIRD OR SUBSQ OFF"
"5311","NARCOTIC EQUIP-POSSESS AND OR USE"
"5312","FTA/NO VALID LICENSE"
"5313","FTA/POSSESSION OF PARAPHERNALIA"
"5314",NA
"5315","PETIT THEFT 1ST DEGREE PROPERTY 100 TO"
"5316","UND 300 DOLS"
"5317","SMUGGLE CONTRABAND INTRODUCE INTO"
"5318","DETENTION FACILITY"
"5319","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"5320","WITHOUT PRESCRIPTION"
"5321","OUT-OF-COUNTY WARRAN/ MIAMI DADE PD/"
"5322","CASE #A6QU62E/ DWLS KNOWINGLY"
"5323","BATTERY TOUCH OR STRIKE"
"5324","GRAND THEFT OF  MOTOR VEHICLE"
"5325","MARIJUANA-TRAFFIC EXCESS OF 25 LBS OR"
"5326","300 PLANTS OR MORE"
"5327","NARCOTIC EQUIP-POSSESS AND OR USE"
"5328","BURGL WITH ASSAULT OR BATTERY"
"5329","FTA/FALSE REPORT TO LAW ENFORCEMENT"
"5330","FTA/LEAVING THE SCENE OF A CRASH WITH"
"5331","DAMAGE TO UNATTENDED VEHICLE"
"5332","FTA/MOVING TRAFFIC VIOL KNOWINGLY"
"5333","DRIVE WHILE LICE SUSPENDED REVOKED"
"5334","FTA/DRIVING WHILE LICENSE SUSPENDED"
"5335","OR REVOKED"
"5336","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"5337","VOP/RECKLESS DRIVING 1ST OFF"
"5338","VOP/PETIT THEFT"
"5339","DOMV/BATTERY 2ND OR SUBSQ OFF"
"5340","PETIT THEFT 1ST DEGREE PROPERTY 100 TO"
"5341","UND 300 DOLS"
"5342","MOVING TRAFFIC VIOL KNOWINGLY DRIVE"
"5343","WHILE LICE SUSPENDED REVOKED"
"5344","DRUGS-POSSESS POSSESS"
"5345","METHAMPHETAMINE"
"5346","POSSESSION OF WEAPON OR AMMO BY"
"5347","CONVICTED FLORIDA FELON"
"5348","POSSESS OF WEAPON FIREARM ON SCHOOL"
"5349","PROPERTY"
"5350","DUI-UNLAW BLD ALCH DUI ALCOHOL OR"
"5351","DRUGS"
"5352","MOVING TRAFFIC VIOL DRIVE WITH"
"5353","SUSPENDED REVOKED LICENSE"
"5354","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"5355","WITHOUT PRESCRIPTION"
"5356","BATTERY TOUCH OR STRIKE"
"5357","TRESPASSING FAIL TO LEAVE PROPERTY"
"5358","UPON ORDER BY OWNER"
"5359","VOP/ LIBERTY CO SO/ CASE # 1500061/ AGG"
"5360","ASSLT W/WEAPON NO INTENT TO KILL"
"5361","MARIJUANA-POSSESS NOT MORE THAN 20"
"5362","GRAMS"
"5363","DRUGS-POSSESS POSSESSION OF A"
"5364","CONTROLLED SUBSTANCE"
"5365","TRESPASSING FAIL TO LEAVE PROPERTY"
"5366","UPON ORDER BY OWNER"
"5367","GRAND THEFT IS $300 OR MORE BUT LESS"
"5368","THAN $5000"
"5369","COUNTERFEITING PAY INSTRUMENT WIT"
"5370","DEFRAUD"
"5371","PASS COUNTERFEITED INSTRUMENT"
"5372","GRAND THEFT IS $300 OR MORE BUT LESS"
"5373","THAN $5000"
"5374","DUI-UNLAW BLD ALCH 0.15 OR HIGHER OR"
"5375","W PERSON UNDER 18 IN VEHICLE"
"5376","TRESPASSING FAIL TO LEAVE PROPERTY"
"5377","UPON ORDER BY OWNER"
"5378","FLEE/ELUDE POLICE - -FAIL TO OBEY LEO"
"5379","ORDER TO STOP"
"5380","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"5381","SUSP 3RD OR SUBSQ OFF"
"5382","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"5383","WITHOUT PRESCRIPTION"
"5384","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"5385","MARIJUANA-POSSESS NOT MORE THAN 20"
"5386","GRAMS"
"5387","NARCOTIC EQUIP-POSSESS AND OR USE"
"5388","DUI-UNLAW BLD ALCH DUI  DAMAGE TO"
"5389","PROPERTY OR PERSON OF ANOTHER"
"5390","MARIJUANA-POSSESS NOT MORE THAN 20"
"5391","GRAMS"
"5392","FTA/POSSESSION OF METHAMPHETAMINE"
"5393","FTA/POSSESSION OF PARAPHERNALIA"
"5394","DOMV///BATTERY TOUCH OR STRIKE"
"5395","COCAINE-POSSESS WITH INTENT TO SELL"
"5396","MFG DELIV ETC SCHEDULE II"
"5397","MARIJUANA-POSSESS WITH INTENT TO SELL"
"5398","MFG OR DELIVER SCHEDULE I"
"5399","GRAND THEFT OF FIREARM"
"5400","DRUGS SELL SALE OF SYNTHETIC"
"5401","CANNABINOIDS"
"5402","BATTERY TOUCH OR STRIKE"
"5403","OUT-OF-COUNTY WARRANT/BAY"
"5404","COUNTY/MANU OF DRUG PARAPHERNALIA/18"
"5405","-2502"
"5406","OUT-OF-COUNTY WARRANT/BAY"
"5407","COUNTY/TRAFFICKING METH M/T 200"
"5408","GRAMS/18-2502"
"5409","OUT-OF-COUNTY WARRANT/BAY"
"5410","COUNTY/POSS OF DRUG PARAPHERNALIA/18-"
"5411","2502"
"5412","OUT-OF-COUNTY WARRANT/BAY"
"5413","COUNTY/POSS OF LISTED CHMEICAL-"
"5414","AMMONIA NITRATE/18-2502"
"5415","FTA/PETIT THEFT"
"5416","BATTERY TOUCH OR STRIKE"
"5417","COCAINE-POSSESS POSSESS COCAINE"
"5418","STOLEN PROP DEAL IN DEALING TRAFFIC"
"5419","STOLEN PROPERTY"
"5420","GRAND THEFT IS $300 OR MORE BUT LESS"
"5421","THAN $5000"
"5422","FRAUD FALSE OWNER INFO PAWNED ITEMS"
"5423","LESS THAN $300"
"5424","TRESPASS ON PROPERTY AFTER WARNING"
"5425","CRIMINAL MISCHIEF (OVER $200 UNDER"
"5426","$1000 DAMAGES)"
"5427","WRIT-WHS $1000 OR 60 DAYS LCJ"
"5428","DOR/PEDROSO/SHEFFIELD"
"5429","LIQUOR-POSSESS BY PERSON UNDER 21 YOA"
"5430","1ST OFF"
"5431","FRAUD POSS DISPLAY BLANNK FORGED"
"5432","STOLEN DR LIC OR ID"
"5433","DRUGS-SELL SELL METHAMPHETAMINE"
"5434","EVIDENCE-DESTROYING TAMPER WITH OR"
"5435","FABRICATE PHYSICAL"
"5436","NARCOTIC EQUIP-POSSESS AND OR USE"
"5437","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"5438","SUSP 2ND OFF"
"5439","FRAUD-IMPERSON FALSE ID GIVEN TO LEO"
"5440","DUI-UNLAW BLD ALCH DUI ALCOHOL OR"
"5441","DRUGS"
"5442","MOVING TRAFFIC VIOL DRIVE WITH"
"5443","SUSPENDED REVOKED LICENSE SUBSQ OFF"
"5444","DUI-UNLAW BLD ALCH DUI ALCOHOL OR"
"5445","DRUGS"
"5446","VOP/DRIVING UNDER THE INFLUENCE WITH"
"5447","BREATH ALCOHOL OF .15 OR HIGHER"
"5448","DOMV/BATTERY TOUCH OR STRIKE"
"5449","GRAND THEFT OF  MOTOR VEHICLE"
"5450","COCAINE-POSSESS POSSESS COCAINE"
"5451","VOP/VIOLATION OF PROBATION OR"
"5452","COMMUNITY CONTROL/BAY COUNTY"
"5453","SO/BURGL UNOCC STRUC/CASE #1501810"
"5454","GRAND THEFT OF  MOTOR VEHICLE"
"5455","DOMV/BATTERY TOUCH OR STRIKE"
"5456","VOP-WARRANTLESS/WAKULLA"
"5457","COUNTY/BURGLARY/ASSAULT ANY"
"5458","PERSON/1400135"
"5459","VOP-WARRANTLESS/WAKULLA"
"5460","COUNTY/2+SIMPLE BATTERY/1400135"
"5461","DOMV/BATTERY TOUCH OR STRIKE"
"5462","DUI-UNLAW BLD ALCH 0.15 OR HIGHER OR"
"5463","W PERSON UNDER 18 IN VEHICLE"
"5464","FAVOR HOLD DOC// WASHINGTON CI"
"5465","DUI-UNLAW BLD ALCH DUI ALCOHOL OR"
"5466","DRUGS"
"5467","FTA/MOVING TRAFFIC VIOL KNOWINGLY"
"5468","DRIVE WHILE LICE SUSPENDED REVOKED"
"5469","DUI-UNLAW BLD ALCH DUI ALCOHOL OR"
"5470","DRUGS"
"5471","REFUSE TO SUBMIT TO DUI TEST"
"5472","FTA/POSSESSION OF MORE THAN 20 GRAMS"
"5473","CANNABIS"
"5474","FTA/POSSESSION OF PARAPHERNALIA"
"5475","VOP/GRAND THEFT MORE THAN $300 BUT"
"5476","LESS THAN $5,000"
"5477","VOP/POSSESSION OF CANNABIS WITH"
"5478","INTENT TO SELL"
"5479","POSSESSION OF MORE THAN 20 GRAMS"
"5480","CANNABIS"
"5481","DUI-UNLAW BLD ALCH DUI ALCOHOL OR"
"5482","DRUGS"
"5483","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"5484","SUSP HABITUTAL"
"5485","DUI-UNLAW BLD ALCH DUI  DAMAGE TO"
"5486","PROPERTY OR PERSON OF ANOTHER"
"5487","HIT AND RUN LEAVE SCENE OF CRASH"
"5488","INVOLVE DAMAGE TO PROP-MORE THAN $50"
"5489","DAMAGE"
"5490","USE/POSS ID OF ANOTHER PERSON WO"
"5491","CONSENT"
"5492","FORGERY OF ALTER PUBLIC RECORD"
"5493","CERTIFICATE ETC"
"5494","WRIT OF ATTACHMENT $800 OR 60 DAYS"
"5495","INCARCERATION"
"5496","PETIT THEFT 1ST OFF"
"5497","VOP/POSSESSION OF A-"
"5498","PYRROLIDINOPENTIOPHENONE (A-PVP)"
"5499","VOP/FELONY FLEEING OR ATTEMPTING TO"
"5500","ELUDE OFFICER"
"5501","VOP/DEALING IN STOLEN PROPERTY"
"5502","MAKING FALSE REPORT GIVE FALSE"
"5503","INFORMATION OR REPORTS TO POLICE"
"5504","BURGLARY OF CONVEYANCE"
"5505","FELONY THEFT"
"5506","POSSESSION OF PARAPHERNALIA"
"5507","FRAUD UTTER FALSE INSTRUMENT"
"5508","POSSESS COUNTERFEITED PAYMENT"
"5509","INSTRUMENT"
"5510","SEXUAL OFFENDERS REQUIRED TO REGISTER"
"5511","WITH THE DEPARTMENT (FAIL TO REPORT"
"5512","NAME OR RESIDENCE CHANGE)"
"5513","FAIL TO REPORT VACATING PERMANENT"
"5514","RESIDENCE"
"5515","SEX OFFENDER VIOLATIONS FAIL TO COMPLY"
"5516","WITH REGISTRATION LAW"
"5517","SEX OFFENDER VIOLATION FAIL TO"
"5518","REGISTER PHONE NUMBER CHANGES"
"5519","TRESPASS IN CONVEYANCE"
"5520","SEXUAL OFFENDERS REQUIRED TO REGISTER"
"5521","WITH THE DEPARTMENT (FAIL TO REPORT"
"5522","NAME OR RESIDENCE CHANGE)"
"5523","FAIL TO REPORT VACATING PERMANENT"
"5524","RESIDENCE"
"5525","SEX OFFENDER VIOLATIONS FAIL TO COMPLY"
"5526","WITH REGISTRATION LAW"
"5527","SEX OFFENDER VIOLATION FAIL TO"
"5528","REGISTER PHONE NUMBER CHANGES"
"5529","TRESPASS IN CONVEYANCE"
"5530","BATTERY ON PERSON 65 YOA OR OLDER"
"5531","VOP/GRAND THEFT"
"5532","OUT-OF-COUNTY WARRANT/ ALACHUA CO"
"5533","SO/ CASE#012018CT001055A / DRIVE WHILE"
"5534","LIC SUSP 2ND OFF"
"5535","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"5536","SUSP 1ST OFF"
"5537","FRAUD-IMPERSON FALSE ID GIVEN TO LEO"
"5538","DUI-UNLAW BLD ALCH 0.15 OR HIGHER OR"
"5539","W PERSON UNDER 18 IN VEHICLE"
"5540","OUT-OF-COUNTY WARRANT/HOLD FOR"
"5541","GADSDEN CO/CASE#15-28CF"
"5542","BATTERY TOUCH OR STRIKE"
"5543","DAMAGE PROP-CRIM MISCH $1000 OR MORE"
"5544","FAVOR HOLD DOC//PUTNAM AI"
"5545","IN CONTEMPT/WHS-TAKEN INTO CUSTODY"
"5546","$2000 OR 60 DAYS IN LCJ PER HEARING"
"5547","OFFICER PEDROSO"
"5548","BATTERY ON OFFICER FIREFIGHTER EMT ETC"
"5549","RESIST OFFICER WITH VIOLENCE"
"5550","MISUSE 911 OR E911 SYSTEM"
"5551","PETIT THEFT 1ST OFF"
"5552","TRANSPORT LEON CO CASE#2018DP06"
"5553","HOLD AND RETURN TO DOC/ RMC"
"5554","BATTERY TOUCH OR STRIKE"
"5555","GRAND THEFT"
"5556","HOLD FOR DOC"
"5557","OUT-OF-COUNTY WARRANT(BAY COUNTY)"
"5558","OUT-OF-COUNTY WARRANT(ESCAMBIA"
"5559","COUNTY) 36 WARRANTS/CASE#15001237PPD"
"5560","BURGLARY OF STRUCTURE WHILE ARMED"
"5561","WITH FIREARM"
"5562","BURGLARY OF STRUCTURE"
"5563","GRAND THEFT OF FIREARM"
"5564","PETIT THEFT (VALUE GREATER THAN $100)"
"5565","BURGL UNOCCUPIED STRUCTURE UNARMED"
"5566","DAMAGE PROP-CRIM MISCH OVER 200"
"5567","DOLLARS UNDER 1000 DOLLARS"
"5568","GRAND THEFT IS $300 OR MORE BUT LESS"
"5569","THAN $5000"
"5570","VOP/FTA/GRAND THEFT"
"5571","BATTERY TOUCH OR STRIKE"
"5572","VOP/POSSESSION OF CONTROLLED"
"5573","SUBSTANCE"
"5574","FAVOR HOLD FOR DOC//ACI"
"5575","FAVOR HOLD DOC// LIBERTY CI"
"5576","VOP/FTA/UNEMPLOYMENT COMPENSATION"
"5577","FRAUD"
"5578","TRESPASSING FAIL TO LEAVE PROPERTY"
"5579","UPON ORDER BY OWNER"
"5580","MOVING TRAFFIC VIOL KNOWINGLY DRIVE"
"5581","WHILE LICE SUSPENDED REVOKED"
"5582","FTA/MOVING TRAFFIC VIOL OPERATE MOTOR"
"5583","VEHICLE WO VALID LICENSE"
"5584","MARIJUANA-POSSESS NOT MORE THAN 20"
"5585","GRAMS"
"5586","HOLD FOR DOC/ WALTON CI"
"5587","VOP/FALSE IMPRISONMENT"
"5588","INDECENT EXPOSURE IN PUBLIC"
"5589","HOLD FOR GADSDEN COUNTY CASE#17-"
"5590","508CF NO BOND// CASE#18-80CMA//NO"
"5591","BOND/ DETAINER"
"5592","POSSESSION OF CONTROLLED SUBSTANCE"
"5593","RESISTING OFFICER WITHOUT VIOLENCE"
"5594","VOP/FTA/BATTERY TOUCH OR STRIKE"
"5595","WRIT/WHS $500 OR 30 DAYS LCJ"
"5596","DOR/RUFF/FITZPATRICK"
"5597","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"5598","GRAND THEFT IS $300 OR MORE BUT LESS"
"5599","THAN $5000"
"5600","TRESPASSING OCCUPIED STRUCTURE OR"
"5601","CONVEYANCE"
"5602","AGGRAV BATTERY CAUSE BODILY HARM OR"
"5603","DISABILITY"
"5604","DOMV/BATTERY TOUCH OR STRIKE"
"5605","VOP/BURGLARY OF CONVEYANCE WHILE"
"5606","ARMED WITH FIREARM"
"5607","VOP/GRAND THEFT OF FIREARM"
"5608","VOP/FELONY FLEEING OR ATTEMPTING TO"
"5609","ELUDE OFFICER"
"5610","VOP/GRAND THEFT OF MOTOR VEHICLE"
"5611","GRAND THEFT IS $300 OR MORE BUT LESS"
"5612","THAN $5000"
"5613","POSSESS COUNTERFEITED PAYMENT"
"5614","INSTRUMENT"
"5615","VOP/TRESPASSING OCCUPIED DWELLING"
"5616","VOP/VIOLATION OF STALKING INJUNCTION"
"5617","FTA/BURGLARY OF OCCUPIED STRUCTURE"
"5618","CRIMES AGAINST PERSON RESIST PROP"
"5619","RECOVERY RETAIL MERCHANT OR FARMER"
"5620","PETIT THEFT 1ST OFF"
"5621","GRAND THEFT OF  MOTOR VEHICLE"
"5622","BATTERY TOUCH OR STRIKE"
"5623","DAMAGE PROP-CRIM MISCH OVER 200"
"5624","DOLLARS UNDER 1000 DOLLARS"
"5625","VOP/POSSESSION OF METHAMPHETAMINE"
"5626","VOP/POSSESSION OF HYDROMORPHONE"
"5627","VOP/CARRYING A CONCEALED FIREARM"
"5628","VOP/POSSESSION OF CONTROLLED"
"5629","SUBSTANCE"
"5630","MOVING TRAFFIC VIOL KNOWINGLY DRIVE"
"5631","WHILE LICE SUSPENDED REVOKED"
"5632","PASSING WORTHLESS BANK CHECK"
"5633","BURGL UNOCCUPIED DWELLING UNARMED"
"5634","BURGL UNOCCUPIED DWELLING UNARMED"
"5635","FTA/MOVING TRAFFIC VIOL KNOWINGLY"
"5636","DRIVE WHILE LICE SUSPENDED REVOKED"
"5637","ARMED ROBBERY WITH FIREARM"
"5638","CRIMINAL USE OF PERSONAL"
"5639","IDENTIFICATION INFORMATION"
"5640","HOLD FOR PINELLAS COUNTY/ FAVOR"
"5641","TRANSPORT REF CASE# 18-03109-CF"
"5642","HOLD FOR DOC/ JACKSON C.I."
"5643","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"5644","BATTERY TOUCH OR STRIKE"
"5645","PASSING WORHTLESS BANK CHECK"
"5646","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"5647","SUSP 2ND OFF"
"5648","PASSING WORHTLESS BANK CHECK"
"5649","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"5650","SUSP 2ND OFF"
"5651","VOP/BURGLARY OF CONVEYANCE"
"5652","VOP/CREDIT CARD FORGERY BY POSSESSION"
"5653","OF STOLEN CARD WITH INTENT TO DEFRAUD"
"5654","VOP/POSSESSION OF FRAUDULENT DRIVER'S"
"5655","LICENSE"
"5656","VOP/PETIT THEFT"
"5657","VOP/POSS RECEIVE RETAIN STOLEN CREDIT"
"5658","DEBIT CARD"
"5659","VOP/GRAND THEFT"
"5660","VOP/POSSESS STOLEN PROP DRIVERS"
"5661","LICENSE OR ID CARD"
"5662","VOP/GRAND THEFT OF FIREARM"
"5663","SALE/POSS CRACKCOCAINE W/ITS W/IN"
"5664","200FT OF SCH"
"5665","GRAND THEFT/VOP"
"5666","VOP/RECKLESS DRIVING 1ST OFF"
"5667","FTA/TRESPASS ON PROPERTY AFTER"
"5668","WARNING"
"5669","MARIJUANA-POSSESS POSSESS MARIJUANA"
"5670","OVER 20 GRAMS"
"5671","SEX OFFENSE VOYEURISM 1ST OFF"
"5672","INDECENT EXPOSURE IN PUBLIC"
"5673","POSSESS COUNTERFEITED PAYMENT"
"5674","INSTRUMENT"
"5675","FRAUD UTTER FALSE INSTRUMENT"
"5676","GRAND THEFT IS $300 OR MORE BUT LESS"
"5677","THAN $5000"
"5678","PETIT THEFT 1ST DEGREE PROPERTY 100 TO"
"5679","UND 300 DOLS"
"5680","PASSING WORTHLESS BANK CHECK"
"5681","VOP/DRIVING UNDER THE INFLUENCE"
"5682","CAUSING DAMAGE TO PERSON OR PROPERTY"
"5683","POSSESSION OF MORE THAN 20 GRAMS"
"5684","CANNABIS"
"5685","FTA/TRESPASS IN STRUCTURE"
"5686","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"5687","WITHOUT PRESCRIPTION"
"5688","VOP/FELONY BATTERY"
"5689","OVERNIGHT HOLD/ BROWARD CO SO"
"5690","POSSESSION OF MORE THAN 20 GRAMS"
"5691","CANNABIS"
"5692","MARIJUANA-POSSESS WITH INTENT TO SELL"
"5693","MFG OR DELIVER SCHEDULE I"
"5694","FTA/POSSESSION OF CONTROLLED"
"5695","SUBSTANCE"
"5696","FTA/POSSESSION OF CANNABIS"
"5697","CALHOUN-COUNTY WARRANT/D.W.L.S.R./"
"5698","CASE # 18000031CTAXMX"
"5699","MARIJUANA-POSSESS POSSESS MARIJUANA"
"5700","OVER 20 GRAMS"
"5701","NARCOTIC EQUIP-POSSESS AND OR USE"
"5702","DUI-UNLAW BLD ALCH DUI  DAMAGE TO"
"5703","PROPERTY OR PERSON OF ANOTHER"
"5704","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"5705","WITHOUT PRESCRIPTION"
"5706","MARIJUANA-POSSESS NOT MORE THAN 20"
"5707","GRAMS"
"5708","NARCOTIC EQUIP-POSSESS AND OR USE"
"5709","VOP/BURGLARY OF DWELLING"
"5710","VOP/GRAND THEFT MORE THAN $300 BUT"
"5711","LESS THAN $5,000"
"5712","TRAFFICKING IN METHAMPHETAMINE"
"5713","POSSESSION OF PARAPHERNALIA"
"5714","OUT-OF-STATE-FUG-REF FUGITIVE FROM"
"5715","JUSTICE/  GWINNETT CO SO/ CASE # F09-"
"5716","01948"
"5717","DOMV/BATTERY TOUCH OR STRIKE"
"5718","HOLD FOR BROWARD CO/ SENTENCED DOC"
"5719","VOP/POSSESSION OF FRAUDULENT DRIVER'S"
"5720","LICENSE"
"5721","VOP/CREDIT CARD FORGERY BY POSSESSION"
"5722","OF STOLEN CARD WITH INTENT TO DEFRAUD"
"5723","VOP/BURGLARY OF CONVEYANCE"
"5724","VOP/GRAND THEFT"
"5725","HOLD FOR BROWARD CO/ SENTENCED DOC"
"5726","VOP/POSSESSION OF FRAUDULENT DRIVER'S"
"5727","LICENSE"
"5728","VOP/CREDIT CARD FORGERY BY POSSESSION"
"5729","OF STOLEN CARD WITH INTENT TO DEFRAUD"
"5730","VOP/BURGLARY OF CONVEYANCE"
"5731","VOP/GRAND THEFT"
"5732","DOMV/BATTERY CAUSE BODILY HARM"
"5733","DAMAGE PROP-CRIM MISCH OVER 200"
"5734","DOLLARS UNDER 1000 DOLLARS"
"5735","MURDER-SECOND DEGREE"
"5736","MURDER-SECOND DEGREE"
"5737","VOP/FELONY BATTERY"
"5738","COUNTERFEITING PAY INSTRUMENT WIT"
"5739","DEFRAUD"
"5740","FRAUD UTTER FALSE INSTRUMENT"
"5741","OUT-OF-COUNTY WARRANT/ WALTON CO"
"5742","SO/ CASE #17CT732/ VOP DWLSR"
"5743","DRUGS-POSSESS POSSESS"
"5744","METHAMPHETAMINE"
"5745","VOP/FELONY THEFT"
"5746","DRUGS-POSSESS POSSESS"
"5747","METHAMPHETAMINE"
"5748","OUT-OF-COUNTY WARRANT/JACKSON"
"5749","SHERIFFS OFFICE/CASE#13-511CA"
"5750","OUT-OF-STATE-FUG-REF FUGITIVE FROM"
"5751","JUSTICE/ COOK CO SO PD, ILLINOIS/"
"5752","WARRANT #18CRO01505/ WEAPON OFFENSE"
"5753","VOP/POSSESSION OF COCAINE WITH INTENT"
"5754","TO SELL"
"5755","VOP/POSSESSION OF CANNABIS WITH"
"5756","INTENT TO SELL"
"5757","VOP/POSEESSION OF XANAX WITH INTENT"
"5758","TO SELL"
"5759","MOVING TRAFFIC VIOL OPERATE MOTOR"
"5760","VEHICLE WO VALID LICENSE"
"5761","DRUGS POSSESS ACTUAL CONSTRUCTIVE"
"5762","POSS SYNTHETIC CANNABINOID"
"5763","FTA/POSSESSION OF METHAMPHETAMINE"
"5764","FTA/POSSESSION OF PARAPHERNALIA"
"5765","VOP/POSSESSION OF SHORT-BARRELED"
"5766","FIREARM"
"5767","VOP/POSSESSION OF FIREARM OR WEAPON"
"5768","ON SCHOOL PROPERTY"
"5769","VOP/SALE OR POSSESSION OF CONTROLLED"
